Product,Firm,Plan,Family,Profile,Weight,Phase1,Funded,P_pay,P_yr1,E_payout_100k,E_payout_if_paid,Avg_days
ForTraders 2-Step,For Traders,2-Step,2-step,Semi-skilled,0.22,0.561,0.261,0.261,0.083,303.2470222196651,1161.8659855159583,102.684
ForTraders 2-Step,For Traders,2-Step,2-step,Average,0.26,0.149,0.023,0.023,0.007,36.48861304354904,1586.4614366760447,67.046
ForTraders 2-Step,For Traders,2-Step,2-step,Aggressive,0.28,0.009,0.0,0.0,0.0,0.0,0.0,1.895
ForTraders 2-Step,For Traders,2-Step,2-step,Lottery,0.17,0.002,0.0,0.0,0.0,0.0,0.0,1.343
TFT Standard,The Funded Trader,Standard,2-step,Pro,0.07,0.884,0.683,0.683,0.217,724.1619061087868,1060.266333980654,111.952
TFT Standard,The Funded Trader,Standard,2-step,Semi-skilled,0.22,0.627,0.332,0.332,0.101,385.1815705325627,1160.1854534113338,124.191
TFT Standard,The Funded Trader,Standard,2-step,Average,0.26,0.163,0.033,0.033,0.007,37.66251784003797,1141.2884193950902,66.897
TFT Standard,The Funded Trader,Standard,2-step,Aggressive,0.28,0.01,0.0,0.0,0.0,0.0,0.0,2.196
TFT Standard,The Funded Trader,Standard,2-step,Lottery,0.17,0.0,0.0,0.0,0.0,0.0,0.0,1.308
TFT Royal,The Funded Trader,Royal 1-Step,1-step,Pro,0.07,0.698,0.548,0.548,0.18,615.3579679360166,1122.9159998832417,85.158
TFT Royal,The Funded Trader,Royal 1-Step,1-step,Semi-skilled,0.22,0.448,0.332,0.332,0.122,399.46578711420204,1203.210202151211,85.108
